prior_type,eventItem,Mean,CILow,CIHigh,YMin,YMax
high_prior,Charley speaks Spanish,0.804632352941177,0.02840625,0.0275036764705883,0.776226102941177,0.832136029411765
high_prior,Danny ate the last cupcake,0.697062937062937,0.0265821678321679,0.0299999999999999,0.670480769230769,0.727062937062937
high_prior,Emily bought a car yesterday,0.561555555555556,0.0395592592592593,0.0363092592592592,0.521996296296296,0.597864814814815
high_prior,Emma studied on Saturday morning,0.680763888888889,0.0309809027777777,0.0283385416666668,0.649782986111111,0.709102430555556
high_prior,Frank got a cat,0.67972027972028,0.0304982517482516,0.0307744755244755,0.649222027972028,0.710494755244755
high_prior,Grace visited her sister,0.790144927536232,0.03,0.0300018115942029,0.760144927536232,0.820146739130435
high_prior,Isabella ate a steak on Sunday,0.517707006369427,0.0282914012738854,0.0277229299363057,0.489415605095541,0.545429936305732
high_prior,Jackson ran 10 miles,0.774965034965035,0.0309265734265733,0.0295909090909091,0.744038461538462,0.804555944055944
high_prior,Jayden rented a car,0.687794117647059,0.0343455882352941,0.0350772058823531,0.653448529411765,0.722871323529412
high_prior,Jon walks to work,0.7559375,0.0368808593750001,0.0334375,0.719056640625,0.789375
high_prior,Josh learned to ride a bike yesterday,0.544575163398693,0.0335996732026144,0.0333415032679739,0.510975490196078,0.577916666666667
high_prior,Josie went on vacation to France,0.73343949044586,0.0317324840764331,0.0295095541401273,0.701707006369427,0.762949044585987
high_prior,Julian dances salsa,0.599493670886076,0.030767405063291,0.0310870253164557,0.568726265822785,0.630580696202532
high_prior,Mary is pregnant,0.815167785234899,0.0391946308724832,0.0341644295302014,0.775973154362416,0.849332214765101
high_prior,Mia drank 2 cocktails last night,0.579022556390977,0.0369285714285714,0.0322650375939849,0.542093984962406,0.611287593984962
high_prior,Olivia sleeps until noon,0.664776119402985,0.041125,0.043882462686567,0.623651119402985,0.708658582089552
high_prior,Owen shoveled snow last winter,0.74648275862069,0.032348275862069,0.0284137931034483,0.714134482758621,0.774896551724138
high_prior,Sophia got a tattoo,0.634248366013072,0.0333415032679738,0.0306535947712419,0.600906862745098,0.664901960784314
high_prior,Tony had a drink last night,0.747279411764706,0.027795955882353,0.0297867647058823,0.719483455882353,0.777066176470588
high_prior,Zoe calculated the tip,0.745971223021583,0.0315143884892086,0.0315845323741007,0.714456834532374,0.777555755395683
low_prior,Charley speaks Spanish,0.277066666666667,0.034215,0.02907,0.242851666666667,0.306136666666667
low_prior,Danny ate the last cupcake,0.27993006993007,0.0389615384615384,0.0385402097902098,0.240968531468531,0.31847027972028
low_prior,Emily bought a car yesterday,0.151655629139073,0.0311274834437086,0.0335794701986755,0.120528145695364,0.185235099337748
low_prior,Emma studied on Saturday morning,0.323098591549296,0.0373239436619718,0.0363397887323944,0.285774647887324,0.35943838028169
low_prior,Frank got a cat,0.16965034965035,0.0329458041958042,0.0397307692307692,0.136704545454545,0.209381118881119
low_prior,Grace visited her sister,0.24777027027027,0.0346064189189189,0.0363581081081081,0.213163851351351,0.284128378378378
low_prior,Isabella ate a steak on Sunday,0.125813953488372,0.030077519379845,0.036046511627907,0.0957364341085271,0.161860465116279
low_prior,Jackson ran 10 miles,0.186013986013986,0.0293723776223776,0.0354685314685314,0.156641608391608,0.221482517482517
low_prior,Jayden rented a car,0.1756,0.0389383333333334,0.0419433333333333,0.136661666666667,0.217543333333333
low_prior,Jon walks to work,0.235696202531646,0.0359003164556962,0.0373528481012658,0.199795886075949,0.273049050632911
low_prior,Josh learned to ride a bike yesterday,0.236917293233083,0.0347406015037594,0.0357199248120301,0.202176691729323,0.272637218045113
low_prior,Josie went on vacation to France,0.117286821705426,0.0327984496124031,0.0354282945736434,0.0844883720930233,0.15271511627907
low_prior,Julian dances salsa,0.401796875,0.03812890625,0.037671875,0.36366796875,0.43946875
low_prior,Mary is pregnant,0.225401459854015,0.0350401459854014,0.039713503649635,0.190361313868613,0.26511496350365
low_prior,Mia drank 2 cocktails last night,0.224901960784314,0.0345212418300654,0.0391503267973856,0.190380718954248,0.264052287581699
low_prior,Olivia sleeps until noon,0.210592105263158,0.0351348684210526,0.037764802631579,0.175457236842105,0.248356907894737
low_prior,Owen shoveled snow last winter,0.279503546099291,0.0424858156028369,0.0408634751773049,0.237017730496454,0.320367021276596
low_prior,Sophia got a tattoo,0.415413533834586,0.0426353383458646,0.042031954887218,0.372778195488722,0.457445488721804
low_prior,Tony had a drink last night,0.2196,0.0380166666666666,0.0421416666666666,0.181583333333333,0.261741666666667
low_prior,Zoe calculated the tip,0.192108843537415,0.0348367346938776,0.0370102040816326,0.157272108843537,0.229119047619048
