"","workerid","rt","subjectGender","speakerGender","content","verb","contentNr","trigger_class","response","slide_number_in_experiment","age","language","asses","american","gender","comments","Answer.time_in_minutes"
"107",3,4446,NA,"F","Zack owns a car","control_good","control_good1","control",1,27,29,"English","Yes",0,"Male","",3.31953333333333
"108",3,4407,"M","M","Zoe calculated the tip","prove","10","C",1,28,29,"English","Yes",0,"Male","",3.31953333333333
"109",3,3804,"M","F","Sophia got a tattoo","acknowledge","5","C",1,29,29,"English","Yes",0,"Male","",3.31953333333333
"110",3,3695,"M","F","Emma studied on Saturday morning","discover","3","NonProj",1,30,29,"English","Yes",0,"Male","",3.31953333333333
"111",3,10308,"F","F","Jackson ran 10 miles","reveal","13","NonProj",1,31,29,"English","Yes",0,"Male","",3.31953333333333
"112",3,9699,"F","M","Josh learned to ride a bike yesterday","establish","16","NonProj",1,32,29,"English","Yes",0,"Male","",3.31953333333333
"141",5,-4497,"F","M","Charley speaks Spanish","confess","20","C",0.74,5,24,"English","Yes",0,"Female","",3.5388
"142",5,3603,NA,"M","Sebastian did really well on the exam","control_bad","control_bad4","control",0,6,24,"English","Yes",0,"Female","",3.5388
"143",5,3545,"F","F","Jackson ran 10 miles","announce","13","C",0.8,7,24,"English","Yes",0,"Female","",3.5388
"144",5,3701,"F","F","Owen shoveled snow last winter","admit","17","C",0.74,8,24,"English","Yes",0,"Female","",3.5388
"145",5,4152,NA,"F","Vanessa looked into the mirror","control_good","control_good4","control",1,9,24,"English","Yes",0,"Female","",3.5388
"146",5,4913,"M","F","Emma studied on Saturday morning","hear","3","C",0.52,10,24,"English","Yes",0,"Female","",3.5388
"147",5,2931,"M","F","Mia drank 2 cocktails last night","be_right_that","6","C",1,11,24,"English","Yes",0,"Female","",3.5388
"148",5,3629,"F","F","Danny ate the last cupcake","demonstrate","11","C",0.65,12,24,"English","Yes",0,"Female","",3.5388
"149",5,2882,NA,"M","the window broke","control_good","control_good2","control",1,13,24,"English","Yes",0,"Female","",3.5388
"150",5,3642,"M","F","Sophia got a tattoo","discover","5","NonProj",1,14,24,"English","Yes",0,"Female","",3.5388
"151",5,2187,"F","F","Frank got a cat","see","12","NonProj",1,15,24,"English","Yes",0,"Female","",3.5388
"152",5,2978,"M","M","Emily bought a car yesterday","prove","8","C",1,16,24,"English","Yes",0,"Female","",3.5388
"153",5,3586,"M","M","Isabella ate a steak on Sunday","pretend","7","NonProj",0,17,24,"English","Yes",0,"Female","",3.5388
"154",5,4654,"M","F","Grace visited her sister","inform_Sam","9","C",0.84,18,24,"English","Yes",0,"Female","",3.5388
"155",5,3133,"M","F","Josie went on vacation to France","acknowledge","2","C",0.92,19,24,"English","Yes",0,"Female","",3.5388
"156",5,2841,"M","M","Zoe calculated the tip","think","10","NonProj",0.56,20,24,"English","Yes",0,"Female","",3.5388
"157",5,2696,"F","M","Josh learned to ride a bike yesterday","reveal","16","NonProj",0.87,21,24,"English","Yes",0,"Female","",3.5388
"158",5,4078,NA,"M","Madison closed the window","control_bad","control_bad3","control",0,22,24,"English","Yes",0,"Female","",3.5388
"159",5,15553,"M","F","Olivia sleeps until noon","know","4","NonProj",1,23,24,"English","Yes",0,"Female","",3.5388
"160",5,86740,"F","M","Jon walks to work","confirm","19","C",0.95,24,24,"English","Yes",0,"Female","",3.5388
"161",5,2470,NA,"F","Zack owns a car","control_good","control_good1","control",1,25,24,"English","Yes",0,"Female","",3.5388
"162",5,2684,"F","M","Tony had a drink last night","annoyed","15","NonProj",1,26,24,"English","Yes",0,"Female","",3.5388
"163",5,3424,"F","M","Jayden rented a car","establish","14","NonProj",0.85,27,24,"English","Yes",0,"Female","",3.5388
"164",5,3221,"F","M","Julian dances salsa","suggest","18","C",0.6,28,24,"English","Yes",0,"Female","",3.5388
"165",5,5432,NA,"M","the apartment has a balcony","control_bad","control_bad2","control",0.3,29,24,"English","Yes",0,"Female","",3.5388
"166",5,2945,NA,"M","Frederick solved the problem","control_good","control_good3","control",1,30,24,"English","Yes",0,"Female","",3.5388
"167",5,3389,"M","F","Mary is pregnant","say","1","C",0.64,31,24,"English","Yes",0,"Female","",3.5388
"168",5,2980,NA,"F","Dana wears a wig","control_bad","control_bad1","control",0,32,24,"English","Yes",0,"Female","",3.5388
"197",7,4249,"M","M","Mary is pregnant","admit","1","C",0.66,5,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"198",7,4200,"M","F","Emma studied on Saturday morning","announce","3","C",0.68,6,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"199",7,3633,"F","F","Tony had a drink last night","confess","15","C",0.7,7,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"200",7,2690,"F","F","Jackson ran 10 miles","acknowledge","13","C",0.68,8,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"201",7,6263,NA,"F","Sebastian did really well on the exam","control_bad","control_bad4","control",0.17,9,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"202",7,4070,NA,"M","the apartment has a balcony","control_bad","control_bad2","control",0.16,10,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"203",7,4004,NA,"F","Frederick solved the problem","control_good","control_good3","control",0.82,11,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"204",7,5364,"M","F","Josie went on vacation to France","annoyed","2","NonProj",0.82,12,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"205",7,4476,"F","F","Jayden rented a car","prove","14","C",0.76,13,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"206",7,4399,NA,"F","Zack owns a car","control_good","control_good1","control",0.92,14,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"207",7,3961,"F","M","Danny ate the last cupcake","know","11","NonProj",0.86,15,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
"208",7,6072,NA,"M","Madison closed the window","control_bad","control_bad3","control",0.1,16,25,"english","No",0,"Male","Perfect survey and fair price. Thanks!",4.00205
