"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
0,15080,"Jackson ran 10 miles","F","M","13","Paul","factH","Catherine","acknowledge","Did Laura acknowledge that Jackson ran 10 miles?","13","C","Yes","Jackson is training for a marathon",2
0,8390,"Frank got a cat","F","F","12","Ashley","factL","Shirley","prove","Did Melissa prove that Frank got a cat?","12","C","No","Frank is allergic to cats",3
0,7847,"Tony had a drink last night","F","F","15","Linda","factL","Julie","see","Did Rebecca see that Tony had a drink last night?","15","NonProj","No","Tony has been sober for 20 years",4
0,19670,"Jayden rented a car","F","M","14","Thomas","factH","Melissa","suggest","Did Stephanie suggest that Jayden rented a car?","14","C","No","Jayden&quotechars car is in the shop",5
0,31181,"Julian dances salsa","F","F","18","Elizabeth","factL","Janet","pretend","Did Kathleen pretend that Julian dances salsa?","18","NonProj","No","Julian is German",6
0,10619,"Josie went on vacation to France","M","M","2","Kenneth","factH","Raymond","know","Does Scott know that Josie went on vacation to France?","2","NonProj","Yes","Josie loves France",7
0,6952,"Jon walks to work","F","F","19","Sarah","factH","Anna","admit","Did Ruth admit that Jon walks to work?","19","C","Yes","Jon lives 2 blocks away from work",8
0,9643,"Josh learned to ride a bike yesterday","F","F","16","Sandra","factL","Rachel","think","Does Sharon think that Josh learned to ride a bike yesterday?","16","NonProj","Yes","Josh is a 75-year old man",9
0,8490,"Vanessa is good at math",NA,"M","control4","James",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",10
0,7029,"Emma studied on Saturday morning","M","M","3","Matthew","factH","Brandon","discover","Did Justin discover that Emma studied on Saturday morning?","3","NonProj","Yes","Emma is in law school",11
0,14156,"Zoe calculated the tip","M","F","10","Michelle","factL","Kevin","confirm","Did Tim confirm that Zoe calculated the tip?","10","C","Yes","Zoe is 5 years old",12
0,5048,"Isabella ate a steak on Sunday","M","M","7","Robert","factH","Andrew","reveal","Did Kevin reveal that Isabella ate a steak on Sunday?","7","NonProj","Yes","Isabella is from Argentina",13
0,5082,"Zack is coming to the meeting tomorrow",NA,"F","control1","Ashley",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",14
0,7488,"Danny ate the last cupcake","F","F","11","Lisa","factH","Christina","hear","Did Amanda hear that Danny ate the last cupcake?","11","C","Yes","Danny loves cake",15
0,7670,"Mary is pregnant","M","F","1","Susan","factL","Ryan","confess","Did Patrick confess that Mary is pregnant?","1","C","Yes","Mary is a middle school student",16
0,6460,"Mary&quotechars aunt is sick",NA,"F","control2","Linda",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",17
0,6044,"Hendrick&quotechars car was expensive",NA,"F","control6","Michelle",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",18
0,5701,"Owen shoveled snow last winter","F","F","17","Kimberly","factL","Amy","be_right_that","Is Cynthia right that Owen shoveled snow last winter?","17","C","No","Owen lives in New Orleans",19
0,5991,"Emily bought a car yesterday","M","M","8","George","factH","Ronald","annoyed","Is Brian annoyed that Emily bought a car yesterday?","8","NonProj","Yes","Emily has been saving for a year",20
0,6074,"Mia drank 2 cocktails last night","M","F","6","Carol","factH","Justin","demonstrate","Did Ray demonstrate that Mia drank 2 cocktails last night?","6","C","No","Mia is a college student",21
0,5107,"Olivia sleeps until noon","M","M","4","William","factL","Patrick","inform_Sam","Did Jerry inform Sam that Olivia sleeps until noon?","4","C","Yes","Olivia has two small children",22
0,7479,"Grace visited her sister","M","F","9","Jessica","factL","Alexander","establish","Did Andrew establish that Grace visited her sister?","9","NonProj","No","Grace hates her sister",23
0,5866,"Charley speaks Spanish","F","M","20","James","factL","Diane","say","Did Anna say that Charley speaks Spanish?","20","C","No","Charley lives in Korea",24
0,11402,"Sophia got a tattoo","M","M","5","David","factH","Edward","announce","Did Ben announce that Sophia got a tattoo?","5","C","Yes","Sophia is a hipster",25
0,5533,"Todd played football in high school",NA,"F","control3","Kimberly",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",26
0,5549,"Madison had a baby",NA,"F","control5","Elizabeth",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",27
1,7911,"Mary is pregnant","M","F","1","Kimberly","factH","Jacob","see","Did Patrick see that Mary is pregnant?","1","NonProj","Yes","Mary is taking a prenatal yoga class",2
1,4897,"Charley speaks Spanish","F","F","20","Margaret","factL","Christina","prove","Did Anna prove that Charley speaks Spanish?","20","C","No","Charley lives in Korea",3
1,4811,"Sophia got a tattoo","M","F","5","Ashley","factL","Edward","discover","Did Ben discover that Sophia got a tattoo?","5","NonProj","Yes","Sophia is a high end fashion model",4
1,3960,"Josie went on vacation to France","M","M","2","David","factH","Gary","hear","Did Scott hear that Josie went on vacation to France?","2","C","Yes","Josie loves France",5
1,3379,"Julian dances salsa","F","M","18","Mark","factH","Carolyn","confess","Did Kathleen confess that Julian dances salsa?","18","C","Yes","Julian is Cuban",6
1,5860,"Isabella ate a steak on Sunday","M","F","7","Susan","factH","Ronald","demonstrate","Did Kevin demonstrate that Isabella ate a steak on Sunday?","7","C","Yes","Isabella is from Argentina",7
1,5088,"Owen shoveled snow last winter","F","M","17","Matthew","factL","Rachel","be_right_that","Is Cynthia right that Owen shoveled snow last winter?","17","C","No","Owen lives in New Orleans",8
1,9431,"Todd played football in high school",NA,"M","control3","Christopher",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",9
1,7896,"Zoe calculated the tip","M","F","10","Betty","factH","Jerry","think","Does Tim think that Zoe calculated the tip?","10","NonProj","No","Zoe is a math major",10
1,9310,"Tony had a drink last night","F","F","15","Jennifer","factL","Ruth","pretend","Did Rebecca pretend that Tony had a drink last night?","15","NonProj","No","Tony has been sober for 20 years",11
1,3164,"Mary&quotechars aunt is sick",NA,"F","control2","Ashley",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",12
1,4027,"Vanessa is good at math",NA,"M","control4","Thomas",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",13
1,4651,"Olivia sleeps until noon","M","M","4","Steven","factL","Benjamin","suggest","Did Jerry suggest that Olivia sleeps until noon?","4","C","No","Olivia has two small children",14
1,123233,"Emma studied on Saturday morning","M","M","3","James","factL","Tyler","admit","Did Justin admit that Emma studied on Saturday morning?","3","C","Yes","Emma is in first grade",15
1,3851,"Mia drank 2 cocktails last night","M","M","6","George","factL","Alexander","acknowledge","Did Ray acknowledge that Mia drank 2 cocktails last night?","6","C","Yes","Mia is a nun",16
1,23463,"Hendrick&quotechars car was expensive",NA,"F","control6","Margaret",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",17
1,6037,"Jayden rented a car","F","F","14","Sarah","factH","Melissa","say","Did Stephanie say that Jayden rented a car?","14","C","Yes","Jayden&quotechars car is in the shop",18
1,3682,"Danny ate the last cupcake","F","M","11","Paul","factH","Diane","confirm","Did Amanda confirm that Danny ate the last cupcake?","11","C","No","Danny loves cake",19
1,6592,"Josh learned to ride a bike yesterday","F","M","16","Christopher","factL","Rebecca","annoyed","Is Sharon annoyed that Josh learned to ride a bike yesterday?","16","NonProj","Yes","Josh is a 75-year old man",20
1,2776,"Madison had a baby",NA,"M","control5","George",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",21
1,53303,"Emily bought a car yesterday","M","M","8","William","factH","Larry","know","Does Brian know that Emily bought a car yesterday?","8","NonProj","Yes","Emily has been saving for a year",22
1,3879,"Grace visited her sister","M","M","9","Thomas","factL","Scott","announce","Did Andrew announce that Grace visited her sister?","9","C","Yes","Grace hates her sister",23
1,4077,"Zack is coming to the meeting tomorrow",NA,"M","control1","Steven",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",24
1,67022,"Frank got a cat","F","M","12","Kenneth","factL","Sharon","reveal","Did Melissa reveal that Frank got a cat?","12","NonProj","Yes","Frank is allergic to cats",25
1,53680,"Jackson ran 10 miles","F","M","13","Richard","factH","Julie","establish","Did Laura establish that Jackson ran 10 miles?","13","NonProj","No","Jackson is training for a marathon",26
1,3208,"Jon walks to work","F","F","19","Dorothy","factH","Virginia","inform_Sam","Did Ruth inform Sam that Jon walks to work?","19","C","Yes","Jon lives 2 blocks away from work",27
2,7105,"Danny ate the last cupcake","F","F","11","Carol","factL","Shirley","see","Did Amanda see that Danny ate the last cupcake?","11","NonProj","Yes","Danny is a diabetic",2
2,2986,"Jackson ran 10 miles","F","F","13","Donna","factL","Cynthia","demonstrate","Did Laura demonstrate that Jackson ran 10 miles?","13","C","No","Jackson is obese",3
2,3075,"Sophia got a tattoo","M","F","5","Betty","factH","Jeffrey","acknowledge","Did Ben acknowledge that Sophia got a tattoo?","5","C","Yes","Sophia is a hipster",4
2,3675,"Josie went on vacation to France","M","F","2","Michelle","factH","Kevin","prove","Did Scott prove that Josie went on vacation to France?","2","C","No","Josie loves France",5
2,5436,"Tony had a drink last night","F","F","15","Kimberly","factH","Anna","hear","Did Rebecca hear that Tony had a drink last night?","15","C","Yes","Tony really likes to party with his friends",6
2,3500,"Jon walks to work","F","M","19","Richard","factL","Laura","announce","Did Ruth announce that Jon walks to work?","19","C","Yes","Jon lives 10 miles away from work",7
2,2330,"Hendrick&quotechars car was expensive",NA,"F","control6","Jennifer",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",8
2,3064,"Todd played football in high school",NA,"M","control3","Richard",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",9
2,5980,"Josh learned to ride a bike yesterday","F","F","16","Karen","factH","Kathleen","discover","Did Sharon discover that Josh learned to ride a bike yesterday?","16","NonProj","Yes","Josh is a 5-year old boy",10
2,4398,"Olivia sleeps until noon","M","M","4","Matthew","factL","Ronald","confess","Did Jerry confess that Olivia sleeps until noon?","4","C","Yes","Olivia has two small children",11
2,2910,"Isabella ate a steak on Sunday","M","F","7","Sandra","factL","Alexander","annoyed","Is Kevin annoyed that Isabella ate a steak on Sunday?","7","NonProj","Yes","Isabella is a vegetarian",12
2,4916,"Julian dances salsa","F","F","18","Jessica","factL","Joyce","pretend","Did Kathleen pretend that Julian dances salsa?","18","NonProj","No","Julian is German",13
2,4048,"Emily bought a car yesterday","M","F","8","Jennifer","factL","Raymond","inform_Sam","Did Brian inform Sam that Emily bought a car yesterday?","8","C","Yes","Emily never has any money",14
2,3686,"Frank got a cat","F","F","12","Margaret","factH","Julie","say","Did Melissa say that Frank got a cat?","12","C","No","Frank has always wanted a pet",15
2,2792,"Vanessa is good at math",NA,"F","control4","Elizabeth",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",16
2,2743,"Madison had a baby",NA,"F","control5","Jessica",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",17
2,2209,"Mary&quotechars aunt is sick",NA,"F","control2","Donna",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",18
2,2456,"Zack is coming to the meeting tomorrow",NA,"F","control1","Sandra",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",19
2,5877,"Mia drank 2 cocktails last night","M","F","6","Elizabeth","factL","Brian","confirm","Did Ray confirm that Mia drank 2 cocktails last night?","6","C","No","Mia is a nun",20
2,3597,"Owen shoveled snow last winter","F","F","17","Susan","factL","Ruth","establish","Did Cynthia establish that Owen shoveled snow last winter?","17","NonProj","No","Owen lives in New Orleans",21
2,3856,"Emma studied on Saturday morning","M","M","3","David","factH","Jerry","reveal","Did Justin reveal that Emma studied on Saturday morning?","3","NonProj","Yes","Emma is in law school",22
2,2168,"Charley speaks Spanish","F","M","20","Robert","factH","Brenda","know","Does Anna know that Charley speaks Spanish?","20","NonProj","Yes","Charley lives in Mexico",23
2,3445,"Jayden rented a car","F","M","14","George","factH","Rebecca","admit","Did Stephanie admit that Jayden rented a car?","14","C","Yes","Jayden&quotechars car is in the shop",24
2,10746,"Zoe calculated the tip","M","F","10","Helen","factL","Patrick","be_right_that","Is Tim right that Zoe calculated the tip?","10","C","No","Zoe is 5 years old",25
2,5768,"Grace visited her sister","M","M","9","Paul","factH","Edward","think","Does Andrew think that Grace visited her sister?","9","NonProj","Yes","Grace loves her sister",26
2,2957,"Mary is pregnant","M","M","1","William","factH","Timothy","suggest","Did Patrick suggest that Mary is pregnant?","1","C","No","Mary is taking a prenatal yoga class",27
3,4262,"Julian dances salsa","F","F","18","Ashley","factH","Carolyn","see","Did Kathleen see that Julian dances salsa?","18","NonProj","Yes","Julian is Cuban",2
3,1835,"Hendrick&quotechars car was expensive",NA,"F","control6","Karen",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",3
3,1540,"Madison had a baby",NA,"F","control5","Jessica",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",4
3,2225,"Olivia sleeps until noon","M","F","4","Jennifer","factL","Jerry","acknowledge","Did Jerry acknowledge that Olivia sleeps until noon?","4","C","Yes","Olivia has two small children",5
3,2521,"Charley speaks Spanish","F","M","20","Paul","factH","Amy","suggest","Did Anna suggest that Charley speaks Spanish?","20","C","No","Charley lives in Mexico",6
3,1698,"Todd played football in high school",NA,"F","control3","Jennifer",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",7
3,3836,"Emily bought a car yesterday","M","M","8","James","factH","Scott","confirm","Did Brian confirm that Emily bought a car yesterday?","8","C","No","Emily has been saving for a year",8
3,2519,"Zoe calculated the tip","M","M","10","David","factL","Edward","prove","Did Tim prove that Zoe calculated the tip?","10","C","No","Zoe is 5 years old",9
3,3640,"Tony had a drink last night","F","F","15","Susan","factH","Virginia","demonstrate","Did Rebecca demonstrate that Tony had a drink last night?","15","C","No","Tony really likes to party with his friends",10
3,3663,"Danny ate the last cupcake","F","M","11","Christopher","factH","Laura","think","Does Amanda think that Danny ate the last cupcake?","11","NonProj","No","Danny loves cake",11
3,1912,"Zack is coming to the meeting tomorrow",NA,"M","control1","George",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",12
3,2823,"Isabella ate a steak on Sunday","M","F","7","Sarah","factH","Alexander","say","Did Kevin say that Isabella ate a steak on Sunday?","7","C","No","Isabella is from Argentina",13
3,1448,"Mary&quotechars aunt is sick",NA,"F","control2","Sandra",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",14
3,3064,"Mia drank 2 cocktails last night","M","F","6","Sandra","factL","Timothy","pretend","Did Ray pretend that Mia drank 2 cocktails last night?","6","NonProj","No","Mia is a nun",15
3,2064,"Josh learned to ride a bike yesterday","F","F","16","Jessica","factL","Diane","confess","Did Sharon confess that Josh learned to ride a bike yesterday?","16","C","Yes","Josh is a 75-year old man",16
3,1384,"Owen shoveled snow last winter","F","F","17","Donna","factH","Catherine","admit","Did Cynthia admit that Owen shoveled snow last winter?","17","C","Yes","Owen lives in Chicago",17
3,1408,"Frank got a cat","F","F","12","Karen","factL","Julie","annoyed","Is Melissa annoyed that Frank got a cat?","12","NonProj","Yes","Frank is allergic to cats",18
3,2280,"Sophia got a tattoo","M","F","5","Elizabeth","factL","Brian","establish","Did Ben establish that Sophia got a tattoo?","5","NonProj","No","Sophia is a high end fashion model",19
3,3780,"Emma studied on Saturday morning","M","M","3","Richard","factH","Jeffrey","be_right_that","Is Justin right that Emma studied on Saturday morning?","3","C","No","Emma is in law school",20
3,2140,"Josie went on vacation to France","M","F","2","Dorothy","factL","Eric","discover","Did Scott discover that Josie went on vacation to France?","2","NonProj","Yes","Josie doesn&quotechart have a passport",21
3,2462,"Mary is pregnant","M","M","1","Steven","factH","Gary","inform_Sam","Did Patrick inform Sam that Mary is pregnant?","1","C","Yes","Mary is taking a prenatal yoga class",22
3,8479,"Grace visited her sister","M","F","9","Lisa","factL","Ronald","hear","Did Andrew hear that Grace visited her sister?","9","C","Yes","Grace hates her sister",23
3,4624,"Jackson ran 10 miles","F","M","13","Thomas","factL","Joyce","announce","Did Laura announce that Jackson ran 10 miles?","13","C","Yes","Jackson is obese",24
3,1928,"Vanessa is good at math",NA,"M","control4","Thomas",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",25
3,4729,"Jayden rented a car","F","F","14","Carol","factH","Ruth","know","Does Stephanie know that Jayden rented a car?","14","NonProj","Yes","Jayden&quotechars car is in the shop",26
3,2425,"Jon walks to work","F","M","19","George","factL","Rachel","reveal","Did Ruth reveal that Jon walks to work?","19","NonProj","Yes","Jon lives 10 miles away from work",27
4,3926,"Todd played football in high school",NA,"F","control3","Susan",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",2
4,5791,"Hendrick&quotechars car was expensive",NA,"F","control6","Sarah",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",3
4,12138,"Danny ate the last cupcake","F","M","11","James","factH","Cynthia","admit","Did Amanda admit that Danny ate the last cupcake?","11","C","Yes","Danny loves cake",4
4,6163,"Owen shoveled snow last winter","F","M","17","George","factH","Rachel","think","Does Cynthia think that Owen shoveled snow last winter?","17","NonProj","No","Owen lives in Chicago",5
4,4945,"Emma studied on Saturday morning","M","M","3","Mark","factL","Gregory","prove","Did Justin prove that Emma studied on Saturday morning?","3","C","No","Emma is in first grade",6
4,4688,"Jon walks to work","F","F","19","Jennifer","factH","Catherine","confess","Did Ruth confess that Jon walks to work?","19","C","Yes","Jon lives 2 blocks away from work",7
4,9562,"Sophia got a tattoo","M","F","5","Sarah","factL","Jeffrey","inform_Sam","Did Ben inform Sam that Sophia got a tattoo?","5","C","Yes","Sophia is a high end fashion model",8
4,2364,"Zack is coming to the meeting tomorrow",NA,"F","control1","Lisa",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",9
4,5446,"Jackson ran 10 miles","F","F","13","Donna","factH","Amanda","confirm","Did Laura confirm that Jackson ran 10 miles?","13","C","No","Jackson is training for a marathon",10
4,6405,"Mia drank 2 cocktails last night","M","F","6","Margaret","factL","Eric","annoyed","Is Ray annoyed that Mia drank 2 cocktails last night?","6","NonProj","Yes","Mia is a nun",11
4,3004,"Isabella ate a steak on Sunday","M","M","7","Kenneth","factH","Brian","suggest","Did Kevin suggest that Isabella ate a steak on Sunday?","7","C","No","Isabella is from Argentina",12
4,20141,"Grace visited her sister","M","M","9","Robert","factL","Andrew","be_right_that","Is Andrew right that Grace visited her sister?","9","C","No","Grace hates her sister",13
4,11896,"Charley speaks Spanish","F","F","20","Lisa","factL","Amy","demonstrate","Did Anna demonstrate that Charley speaks Spanish?","20","C","No","Charley lives in Korea",14
4,5578,"Madison had a baby",NA,"F","control5","Kimberly",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",15
4,14526,"Julian dances salsa","F","F","18","Sandra","factH","Carolyn","know","Does Kathleen know that Julian dances salsa?","18","NonProj","Yes","Julian is Cuban",16
4,4413,"Olivia sleeps until noon","M","F","4","Betty","factL","Scott","discover","Did Jerry discover that Olivia sleeps until noon?","4","NonProj","Yes","Olivia has two small children",17
4,4301,"Tony had a drink last night","F","M","15","Thomas","factH","Heather","hear","Did Rebecca hear that Tony had a drink last night?","15","C","Yes","Tony really likes to party with his friends",18
4,5184,"Emily bought a car yesterday","M","F","8","Nancy","factH","Justin","announce","Did Brian announce that Emily bought a car yesterday?","8","C","No","Emily has been saving for a year",19
4,2231,"Mary&quotechars aunt is sick",NA,"M","control2","Matthew",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",20
4,3956,"Zoe calculated the tip","M","F","10","Elizabeth","factL","Larry","say","Did Tim say that Zoe calculated the tip?","10","C","No","Zoe is 5 years old",21
4,4318,"Josh learned to ride a bike yesterday","F","F","16","Michelle","factH","Joyce","see","Did Sharon see that Josh learned to ride a bike yesterday?","16","NonProj","Yes","Josh is a 5-year old boy",22
4,41202,"Josie went on vacation to France","M","F","2","Helen","factH","Ryan","pretend","Did Scott pretend that Josie went on vacation to France?","2","NonProj","No","Josie loves France",23
4,2996,"Vanessa is good at math",NA,"F","control4","Margaret",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",24
4,3747,"Mary is pregnant","M","F","1","Susan","factL","Jacob","reveal","Did Patrick reveal that Mary is pregnant?","1","NonProj","No","Mary is a middle school student",25
4,5131,"Jayden rented a car","F","M","14","Matthew","factL","Sharon","acknowledge","Did Stephanie acknowledge that Jayden rented a car?","14","C","No","Jayden doesn&quotechart have a driver&quotechars license",26
4,3491,"Frank got a cat","F","F","12","Kimberly","factL","Rebecca","establish","Did Melissa establish that Frank got a cat?","12","NonProj","No","Frank is allergic to cats",27
5,8704,"Madison had a baby",NA,"F","control5","Helen",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",2
5,10573,"Charley speaks Spanish","F","F","20","Helen","factL","Nicole","inform_Sam","Did Anna inform Sam that Charley speaks Spanish?","20","C","Yes","Charley lives in Korea",3
5,9785,"Mia drank 2 cocktails last night","M","F","6","Lisa","factH","Brandon","demonstrate","Did Ray demonstrate that Mia drank 2 cocktails last night?","6","C","Yes","Mia is a college student",4
5,3351,"Todd played football in high school",NA,"F","control3","Margaret",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",5
5,6474,"Emma studied on Saturday morning","M","F","3","Carol","factL","Larry","pretend","Did Justin pretend that Emma studied on Saturday morning?","3","NonProj","No","Emma is in first grade",6
5,6144,"Grace visited her sister","M","M","9","Christopher","factH","Alexander","know","Does Andrew know that Grace visited her sister?","9","NonProj","Yes","Grace loves her sister",7
5,7785,"Emily bought a car yesterday","M","M","8","Mark","factH","Andrew","think","Does Brian think that Emily bought a car yesterday?","8","NonProj","No","Emily has been saving for a year",8
5,3466,"Hendrick&quotechars car was expensive",NA,"F","control6","Carol",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",9
5,8035,"Owen shoveled snow last winter","F","M","17","Steven","factH","Melissa","say","Did Cynthia say that Owen shoveled snow last winter?","17","C","No","Owen lives in Chicago",10
5,3040,"Vanessa is good at math",NA,"F","control4","Betty",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",11
5,6837,"Olivia sleeps until noon","M","F","4","Nancy","factH","Jeffrey","confirm","Did Jerry confirm that Olivia sleeps until noon?","4","C","Yes","Olivia works the third shift",12
5,6971,"Isabella ate a steak on Sunday","M","M","7","David","factL","Kevin","reveal","Did Kevin reveal that Isabella ate a steak on Sunday?","7","NonProj","No","Isabella is a vegetarian",13
5,4931,"Frank got a cat","F","F","12","Margaret","factL","Rebecca","acknowledge","Did Melissa acknowledge that Frank got a cat?","12","C","Yes","Frank is allergic to cats",14
5,5132,"Tony had a drink last night","F","M","15","Kenneth","factH","Anna","discover","Did Rebecca discover that Tony had a drink last night?","15","NonProj","Yes","Tony really likes to party with his friends",15
5,3019,"Zack is coming to the meeting tomorrow",NA,"M","control1","David",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",16
5,6468,"Danny ate the last cupcake","F","F","11","Dorothy","factH","Sharon","see","Did Amanda see that Danny ate the last cupcake?","11","NonProj","Yes","Danny loves cake",17
5,5000,"Mary is pregnant","M","F","1","Elizabeth","factL","Edward","be_right_that","Is Patrick right that Mary is pregnant?","1","C","No","Mary is a middle school student",18
5,8622,"Josh learned to ride a bike yesterday","F","M","16","Robert","factL","Stephanie","confess","Did Sharon confess that Josh learned to ride a bike yesterday?","16","C","No","Josh is a 75-year old man",19
5,5926,"Josie went on vacation to France","M","F","2","Sarah","factL","Jacob","prove","Did Scott prove that Josie went on vacation to France?","2","C","Yes","Josie doesn&quotechart have a passport",20
5,6591,"Sophia got a tattoo","M","F","5","Michelle","factH","Raymond","admit","Did Ben admit that Sophia got a tattoo?","5","C","No","Sophia is a hipster",21
5,6810,"Zoe calculated the tip","M","F","10","Karen","factL","Gregory","suggest","Did Tim suggest that Zoe calculated the tip?","10","C","No","Zoe is 5 years old",22
5,3056,"Mary&quotechars aunt is sick",NA,"F","control2","Elizabeth",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",23
5,4954,"Jayden rented a car","F","F","14","Kimberly","factL","Diane","establish","Did Stephanie establish that Jayden rented a car?","14","NonProj","No","Jayden doesn&quotechart have a driver&quotechars license",24
5,5618,"Jon walks to work","F","F","19","Donna","factH","Cynthia","annoyed","Is Ruth annoyed that Jon walks to work?","19","NonProj","Yes","Jon lives 2 blocks away from work",25
5,4940,"Jackson ran 10 miles","F","F","13","Betty","factL","Laura","hear","Did Laura hear that Jackson ran 10 miles?","13","C","Yes","Jackson is obese",26
5,10061,"Julian dances salsa","F","M","18","Richard","factH","Catherine","announce","Did Kathleen announce that Julian dances salsa?","18","C","No","Julian is Cuban",27
6,12049,"Grace visited her sister","M","F","9","Betty","factL","Justin","prove","Did Andrew prove that Grace visited her sister?","9","C","Yes","Grace hates her sister",2
6,6791,"Mary is pregnant","M","F","1","Nancy","factH","Scott","establish","Did Patrick establish that Mary is pregnant?","1","NonProj","No","Mary is taking a prenatal yoga class",3
6,6227,"Josie went on vacation to France","M","M","2","George","factH","Timothy","say","Did Scott say that Josie went on vacation to France?","2","C","No","Josie loves France",4
6,5117,"Frank got a cat","F","F","12","Susan","factH","Catherine","see","Did Melissa see that Frank got a cat?","12","NonProj","Yes","Frank has always wanted a pet",5
6,5920,"Zoe calculated the tip","M","M","10","David","factH","Gary","suggest","Did Tim suggest that Zoe calculated the tip?","10","C","No","Zoe is a math major",6
6,9213,"Julian dances salsa","F","M","18","William","factL","Heather","announce","Did Kathleen announce that Julian dances salsa?","18","C","Yes","Julian is German",7
6,8236,"Vanessa is good at math",NA,"F","control4","Lisa",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",8
6,10852,"Charley speaks Spanish","F","F","20","Ashley","factH","Christina","demonstrate","Did Anna demonstrate that Charley speaks Spanish?","20","C","No","Charley lives in Mexico",9
6,5140,"Mary&quotechars aunt is sick",NA,"F","control2","Betty",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",10
6,7720,"Jayden rented a car","F","F","14","Michelle","factL","Melissa","annoyed","Is Stephanie annoyed that Jayden rented a car?","14","NonProj","Yes","Jayden doesn&quotechart have a driver&quotechars license",11
6,6276,"Tony had a drink last night","F","F","15","Margaret","factH","Carolyn","confirm","Did Rebecca confirm that Tony had a drink last night?","15","C","No","Tony really likes to party with his friends",12
6,44202,"Jackson ran 10 miles","F","F","13","Dorothy","factH","Kathleen","be_right_that","Is Laura right that Jackson ran 10 miles?","13","C","No","Jackson is training for a marathon",13
6,9053,"Jon walks to work","F","M","19","James","factH","Brenda","acknowledge","Did Ruth acknowledge that Jon walks to work?","19","C","Yes","Jon lives 2 blocks away from work",14
6,4142,"Hendrick&quotechars car was expensive",NA,"F","control6","Michelle",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",15
6,59361,"Olivia sleeps until noon","M","F","4","Donna","factL","Eric","think","Does Jerry think that Olivia sleeps until noon?","4","NonProj","No","Olivia has two small children",16
