"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
68,4512,"Charley speaks Spanish","F","F","20","Nancy","factH","Rebecca","see","Did Anna see that Charley speaks Spanish?","20","NonProj","Yes","Charley lives in Mexico",12
68,11944,"Jayden rented a car","F","M","14","Matthew","factH","Catherine","demonstrate","Did Stephanie demonstrate that Jayden rented a car?","14","C","Yes","Jayden&quotechars car is in the shop",13
68,3659,"Danny ate the last cupcake","F","M","11","Thomas","factL","Christina","discover","Did Amanda discover that Danny ate the last cupcake?","11","NonProj","Yes","Danny is a diabetic",14
68,4523,"Owen shoveled snow last winter","F","M","17","George","factL","Virginia","announce","Did Cynthia announce that Owen shoveled snow last winter?","17","C","Yes","Owen lives in New Orleans",15
68,4411,"Olivia sleeps until noon","M","F","4","Kimberly","factL","Benjamin","annoyed","Is Jerry annoyed that Olivia sleeps until noon?","4","NonProj","Yes","Olivia has two small children",16
68,2797,"Madison had a baby",NA,"M","control5","Richard",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",17
68,4625,"Mia drank 2 cocktails last night","M","M","6","William","factH","Brandon","suggest","Did Ray suggest that Mia drank 2 cocktails last night?","6","C","No","Mia is a college student",18
68,3462,"Mary is pregnant","M","F","1","Karen","factH","Andrew","inform_Sam","Did Patrick inform Sam that Mary is pregnant?","1","C","Yes","Mary is taking a prenatal yoga class",19
68,4272,"Mary&quotechars aunt is sick",NA,"M","control2","Steven",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",20
68,2992,"Todd played football in high school",NA,"F","control3","Kimberly",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",21
68,3141,"Sophia got a tattoo","M","F","5","Jennifer","factH","Raymond","know","Does Ben know that Sophia got a tattoo?","5","NonProj","Yes","Sophia is a hipster",22
68,3093,"Zack is coming to the meeting tomorrow",NA,"F","control1","Elizabeth",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",23
68,2492,"Jackson ran 10 miles","F","M","13","James","factH","Nicole","hear","Did Laura hear that Jackson ran 10 miles?","13","C","Yes","Jackson is training for a marathon",24
68,2406,"Vanessa is good at math",NA,"F","control4","Margaret",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",25
68,6209,"Emily bought a car yesterday","M","M","8","Richard","factL","Kevin","say","Did Brian say that Emily bought a car yesterday?","8","C","No","Emily never has any money",26
68,14882,"Zoe calculated the tip","M","F","10","Elizabeth","factL","Jeffrey","think","Does Tim think that Zoe calculated the tip?","10","NonProj","No","Zoe is 5 years old",27
69,8293,"Mia drank 2 cocktails last night","M","M","6","Mark","factL","Gary","reveal","Did Ray reveal that Mia drank 2 cocktails last night?","6","NonProj","Yes","Mia is a nun",2
69,7125,"Emma studied on Saturday morning","M","M","3","James","factH","Jerry","say","Did Justin say that Emma studied on Saturday morning?","3","C","No","Emma is in law school",3
69,6443,"Julian dances salsa","F","M","18","George","factL","Christina","be_right_that","Is Kathleen right that Julian dances salsa?","18","C","No","Julian is German",4
69,6782,"Vanessa is good at math",NA,"M","control4","George",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",5
69,8475,"Zoe calculated the tip","M","F","10","Betty","factL","Ryan","admit","Did Tim admit that Zoe calculated the tip?","10","C","Yes","Zoe is 5 years old",6
69,8040,"Josh learned to ride a bike yesterday","F","F","16","Ashley","factH","Nicole","announce","Did Sharon announce that Josh learned to ride a bike yesterday?","16","C","Yes","Josh is a 5-year old boy",7
69,4414,"Mary is pregnant","M","M","1","Richard","factL","Gregory","think","Does Patrick think that Mary is pregnant?","1","NonProj","No","Mary is a middle school student",8
69,4803,"Tony had a drink last night","F","F","15","Donna","factH","Shirley","prove","Did Rebecca prove that Tony had a drink last night?","15","C","No","Tony really likes to party with his friends",9
69,7484,"Hendrick&quotechars car was expensive",NA,"F","control6","Susan",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",10
69,3468,"Madison had a baby",NA,"M","control5","Kenneth",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",11
