prior_type,eventItem,Mean,CILow,CIHigh,YMin,YMax
high_prior,Charley speaks Spanish,0.804632352941177,0.029341911764706,0.0289761029411765,0.775290441176471,0.833608455882353
high_prior,Danny ate the last cupcake,0.697062937062937,0.030562937062937,0.0299388111888111,0.6665,0.727001748251748
high_prior,Emily bought a car yesterday,0.561555555555556,0.0386703703703705,0.0382314814814815,0.522885185185185,0.599787037037037
high_prior,Emma studied on Saturday morning,0.680763888888889,0.0291701388888888,0.0284201388888889,0.65159375,0.709184027777778
high_prior,Frank got a cat,0.67972027972028,0.0319597902097902,0.0299335664335664,0.647760489510489,0.709653846153846
high_prior,Grace visited her sister,0.790144927536232,0.0320416666666667,0.0289166666666667,0.758103260869565,0.819061594202899
high_prior,Isabella ate a steak on Sunday,0.517707006369427,0.0282850318471338,0.0291719745222929,0.489421974522293,0.54687898089172
high_prior,Jackson ran 10 miles,0.774965034965035,0.031270979020979,0.0286730769230769,0.743694055944056,0.803638111888112
high_prior,Jayden rented a car,0.687794117647059,0.0344246323529412,0.0341194852941177,0.653369485294118,0.721913602941176
high_prior,Jon walks to work,0.7559375,0.035865234375,0.03375390625,0.720072265625,0.78969140625
high_prior,Josh learned to ride a bike yesterday,0.544575163398693,0.0336601307189542,0.0351650326797386,0.510915032679739,0.579740196078431
high_prior,Josie went on vacation to France,0.73343949044586,0.0292356687898089,0.0286066878980892,0.704203821656051,0.762046178343949
high_prior,Julian dances salsa,0.599493670886076,0.030001582278481,0.0295632911392405,0.569492088607595,0.629056962025316
high_prior,Mary is pregnant,0.815167785234899,0.0378540268456377,0.0334899328859061,0.777313758389262,0.848657718120805
high_prior,Mia drank 2 cocktails last night,0.579022556390977,0.0330093984962406,0.0318045112781955,0.546013157894737,0.610827067669173
high_prior,Olivia sleeps until noon,0.664776119402985,0.043634328358209,0.0442555970149254,0.621141791044776,0.709031716417911
high_prior,Owen shoveled snow last winter,0.74648275862069,0.0308327586206897,0.0302344827586207,0.71565,0.77671724137931
high_prior,Sophia got a tattoo,0.634248366013072,0.0324215686274509,0.0324199346405228,0.601826797385621,0.666668300653595
high_prior,Tony had a drink last night,0.747279411764706,0.0288235294117647,0.0301507352941176,0.718455882352941,0.777430147058824
high_prior,Zoe calculated the tip,0.745971223021583,0.0341115107913668,0.0310143884892087,0.711859712230216,0.776985611510791
low_prior,Charley speaks Spanish,0.277066666666667,0.03274,0.033735,0.244326666666667,0.310801666666667
low_prior,Danny ate the last cupcake,0.27993006993007,0.0391660839160839,0.0360856643356643,0.240763986013986,0.316015734265734
low_prior,Emily bought a car yesterday,0.151655629139073,0.0283592715231788,0.0309983443708609,0.123296357615894,0.182653973509934
low_prior,Emma studied on Saturday morning,0.323098591549296,0.0421320422535211,0.0361285211267606,0.280966549295775,0.359227112676056
low_prior,Frank got a cat,0.16965034965035,0.033986013986014,0.0403618881118881,0.135664335664336,0.210012237762238
low_prior,Grace visited her sister,0.24777027027027,0.034464527027027,0.0371233108108107,0.213305743243243,0.284893581081081
low_prior,Isabella ate a steak on Sunday,0.125813953488372,0.0306240310077519,0.0361298449612403,0.0951899224806202,0.161943798449612
low_prior,Jackson ran 10 miles,0.186013986013986,0.0345472027972028,0.034270979020979,0.151466783216783,0.220284965034965
low_prior,Jayden rented a car,0.1756,0.0426033333333333,0.0437383333333333,0.132996666666667,0.219338333333333
low_prior,Jon walks to work,0.235696202531646,0.0356376582278481,0.0356360759493671,0.200058544303797,0.271332278481013
low_prior,Josh learned to ride a bike yesterday,0.236917293233083,0.0374454887218045,0.0372293233082706,0.199471804511278,0.274146616541353
low_prior,Josie went on vacation to France,0.117286821705426,0.0326395348837209,0.0343468992248062,0.0846472868217054,0.151633720930233
low_prior,Julian dances salsa,0.401796875,0.035314453125,0.03672265625,0.366482421875,0.43851953125
low_prior,Mary is pregnant,0.225401459854015,0.0370127737226278,0.0386222627737226,0.188388686131387,0.264023722627737
low_prior,Mia drank 2 cocktails last night,0.224901960784314,0.0369967320261438,0.0356895424836601,0.18790522875817,0.260591503267974
low_prior,Olivia sleeps until noon,0.210592105263158,0.0340213815789474,0.0353421052631579,0.176570723684211,0.245934210526316
low_prior,Owen shoveled snow last winter,0.279503546099291,0.0416471631205673,0.0418581560283688,0.237856382978723,0.32136170212766
low_prior,Sophia got a tattoo,0.415413533834586,0.0438364661654135,0.0438402255639097,0.371577067669173,0.459253759398496
low_prior,Tony had a drink last night,0.2196,0.0389466666666667,0.0350683333333333,0.180653333333333,0.254668333333333
low_prior,Zoe calculated the tip,0.192108843537415,0.0315765306122449,0.037828231292517,0.16053231292517,0.229937074829932
